event_starttime,event_peaktime,event_endtime,fl_goescls,ar_noaanum
2017-09-04 05:36:00,2017-09-04 05:49:00,2017-09-04 06:05:00,M1.2,12673
2017-09-04 15:11:00,2017-09-04 15:30:00,2017-09-04 15:33:00,M1.5,12673
2017-09-04 18:46:00,2017-09-04 19:37:00,2017-09-04 19:52:00,M1.7,12673
2017-09-04 19:59:00,2017-09-04 20:02:00,2017-09-04 20:06:00,M1.5,12673
2017-09-04 20:28:00,2017-09-04 20:33:00,2017-09-04 20:37:00,M5.5,12673
2017-09-04 22:10:00,2017-09-04 22:14:00,2017-09-04 22:19:00,M2.1,12673
2017-09-05 01:03:00,2017-09-05 01:08:00,2017-09-05 01:11:00,M4.2,12673
2017-09-05 04:33:00,2017-09-05 04:53:00,2017-09-05 05:07:00,M3.2,12673
2017-09-05 06:33:00,2017-09-05 06:40:00,2017-09-05 06:43:00,M3.8,12673
2017-09-05 17:37:00,2017-09-05 17:43:00,2017-09-05 17:51:00,M2.3,12673
2017-09-06 08:57:00,2017-09-06 09:10:00,2017-09-06 09:17:00,X2.2,12673
2017-09-06 11:53:00,2017-09-06 12:02:00,2017-09-06 12:10:00,X9.3,12673
2017-09-06 15:51:00,2017-09-06 15:56:00,2017-09-06 16:03:00,M2.5,12673
2017-09-06 19:21:00,2017-09-06 19:30:00,2017-09-06 19:35:00,M1.4,12673
2017-09-06 23:33:00,2017-09-06 23:39:00,2017-09-06 23:44:00,M1.2,0
2017-09-07 04:59:00,2017-09-07 05:02:00,2017-09-07 05:08:00,M2.4,12673
2017-09-07 09:49:00,2017-09-07 09:54:00,2017-09-07 09:58:00,M1.4,12673
2017-09-07 10:11:00,2017-09-07 10:15:00,2017-09-07 10:18:00,M7.3,12673
2017-09-07 14:20:00,2017-09-07 14:36:00,2017-09-07 14:55:00,X1.3,12673
2017-09-07 23:50:00,2017-09-07 23:59:00,2017-09-08 00:14:00,M3.9,12673
